1,name,source,type,description
592,Potion of Possibility,18,"Potion, very rare","When you drink this clear potion, you gain two Fragments of Possibility, each of which looks like a Tiny, grayish bead of energy that follows you around, staying within 1 foot of you at all times. Each fragment lasts for 8 hours or until used.|||When you make an attack roll, an ability check, or a saving throw, you can expend your fragment to roll an additional d20 and choose which of the d20s to use. Alternatively, when an attack roll is made against you, you can expend your fragment to roll a d20 and choose which of the d20s to use, the one you rolled or the one the attacker rolled.|||If the original d20 roll has advantage or disadvantage, you roll your d20 after advantage or disadvantage has been applied to the original roll.|||While you have one or more Fragments of Possibility from this potion, you can't gain another Fragment of Possibility from any source."
593,Potion of Speed,4,"Potion, very rare","When you drink this potion, you gain the effect of the Haste spell for 1 minute (no concentration required). The potion's yellow fluid is streaked with black and swirls on its own."
594,Potion of Vitality,4,"Potion, very rare","When you drink this potion, it removes any exhaustion you are suffering and cures any disease or poison affecting you. For the next 24 hours, you regain the maximum number of hit points for any Hit Die you spend. The potion's crimson liquid regularly pulses with dull light, calling to mind a heartbeat."
595,Reincarnation Dust,18,"Wondrous item, very rare","When this small pouch of purple dust is sprinkled on a dead humanoid or a piece of a dead humanoid, the dust is absorbed by the remains. If willing, the dead creature returns to life with a new body as if the Reincarnate spell had been cast on the remains."
596,Ring of Amity,12,"Ring, Very Rare (Requires Attunement)","This ring is carved from hematite and bears an engraving of the friend rune.|||When you first attune to this ring, you can touch one willing creature and form a magical bond between the two of you. While this bond lasts, whenever you are subjected to a spell or magical effect that restores hit points, the bonded creature also receives the benefits of the spell or effect.|||You can bond with a different creature whenever you finish a long rest, provided that you can touch the creature and the creature is willing.|||A creature can benefit from only one ring of amity’s bond at a time. The bond ends if either you or the creature travels to a different plane of existence, if you bond with a different creature at the end of a long rest, or if you sever the bond as a bonus action.|||Invoking the Rune. When the bonded creature hits a target with an attack roll, you can use your reaction to invoke the ring’s rune if you are within 60 feet of the bonded creature. The bonded creature’s attack is then turned into a critical hit.|||Once the rune has been invoked, it can’t be invoked again until the next dawn."
597,Ring of Red Fury,42,"Ring, very rare (requires attunement)","This ring has a stripe of ruidium running through it. While wearing the ring, you gain the following benefits:|||Ruidium Rage. As a bonus action, you can use the ring to gain the following benefits, which last for 1 minute or until you are incapacitated:|||You can’t use this property of the ring again until you finish a long rest.|||Ruidium Corruption. When you use the Ruidium Rage property of the ring, you must make a DC 20 Charisma saving throw. On a failed save, you gain 1 level of exhaustion. If you are not already suffering from ruidium corruption, you become corrupted when you fail this save.|||If Ruidium Is Destroyed. If the Apotheon is killed or redeemed, all of the ruidium in Exandria is destroyed instantly, and the Ring of Red Fury becomes a Ring of Free Action."
598,Ring of Regeneration,4,"Ring, very rare (requires attunement)","While wearing this ring, you regain 1d6 hit points every 10 minutes, provided that you have at least 1 hit point. If you lose a body part, the ring causes the missing part to regrow and return to full functionality after 1d6 + 1 days if you have at least 1 hit point the whole time."
599,Ring of Shooting Stars,4,"Ring, very rare (requires attunement)","While wearing this ring in dim light or darkness, you can cast Dancing Lights and Light from the ring at will. Casting either spell from the ring requires an action.|||The ring has 6 charges for the following other properties. The ring regains 1d6 expended charges daily at dawn.|||Faerie Fire. You can expend 1 charge as an action to cast Faerie Fire from the ring.|||Ball Lightning. You can expend 2 charges as an action to create one to four 3-foot-diameter spheres of lightning. The more spheres you create, the less powerful each sphere is individually.|||Each sphere appears in an unoccupied space you can see within 120 feet of you. The spheres last as long as you concentrate (as if concentrating on a spell), up to 1 minute. Each sphere sheds dim light in a 30-foot radius.|||As a bonus action, you can move each sphere up to 30 feet, but no farther than 120 feet away from you. When a creature other than you comes within 5 feet of a sphere, the sphere discharges lightning at that creature and disappears. That creature must make a DC 15 Dexterity saving throw. On a failed save, the creature takes lightning damage based on the number of spheres you created.|||Shooting Stars. You can expend 1 to 3 charges as an action. For every charge you expend, you launch a glowing mote of light from the ring at a point you can see within 60 feet of you. Each creature within a 15-foot cube originating from that point is showered in sparks and must make a DC 15 Dexterity saving throw. taking 5d4 fire damage on a failed save, or half as much damage on a successful one.||||||Spheres,Lightning Damage|||4,2d4|||3,2d6|||2,5d4|||1,4d12|||"
600,Ring of Telekinesis,4,"Ring, very rare (requires attunement)","While wearing this ring, you can cast the Telekinesis spell at will, but you can target only objects that aren't being worn or carried."
601,Robe of Scintillating Colors,4,"Wondrous item, very rare (requires attunement)","This robe has 3 charges, and it regains 1d3 expended charges daily at dawn. While you wear it, you can use an action and expend 1 charge to cause the garment to display a shifting pattern of dazzling hues until the end of your next turn. During this time, the robe sheds bright light in a 30-foot radius and dim light for an additional 30 feet. Creatures that can see you have disadvantage on attack rolls against you. In addition, any creature in the bright light that can see you when the robe's power is activated must succeed on a DC 15 Wisdom saving throw or become stunned until the effect ends."
602,Robe of Stars,4,"Wondrous item, very rare (requires attunement)","This black or dark blue robe is embroidered with small white or silver stars. You gain a +1 bonus to saving throws while you wear it.|||Six stars, located on the robe's upper front portion, are particularly large. While wearing this robe, you can use an action to pull off one of the stars and use it to cast Magic Missile as a 5th-level spell. Daily at dusk, 1d6 removed stars reappear on the robe.|||While you wear the robe, you can use an action to enter the Astral Plane along with everything you are wearing and carrying. You remain there until you use an action to return to the plane you were on. You reappear in the last space you occupied, or if that space is occupied, the nearest unoccupied space."
603,Rod of Absorption,4,"Rod, very rare (requires attunement)","While holding this rod, you can use your reaction to absorb a spell that is targeting only you and not with an area of effect. The absorbed spell's effect is canceled, and the spell's energy - not the spell itself - is stored in the rod. The energy has the same level as the spell when it was cast. The rod can absorb and store up to 50 levels of energy over the course of its existence. Once the rod absorbs 50 levels of energy, it can't absorb more. If you are targeted by a spell that the rod can't store, the rod has no effect on that spell.|||When you become attuned to the rod, you know how many levels of energy the rod has absorbed over the course of its existence, and how many levels of spell energy it currently has stored.|||If you are a spellcaster holding the rod, you can convert energy stored in it into spell slots to cast spells you have prepared or know. You can create spell slots only of a level equal to or lower than your own spell slots, up to a maximum of 5th level. You use the stored levels in place of your slots, but otherwise cast the spell as normal. For example, you can use 3 levels stored in the rod as a 3rd-level spell slot.|||A newly found rod has 1d10 levels of spell energy stored in it already. A rod that can no longer absorb spell energy and has no energy remaining becomes nonmagical."
604,Rod of Alertness,4,"Rod, very rare (requires attunement)","This rod has a flanged head and the following properties:|||Alertness. While holding this rod, you have advantage on Wisdom (Perception) checks and on rolls for initiative.|||Spells. While holding the rod, you can use an action to cast one of the following spells from it: Detect Evil and Good, Detect Magic, Detect Poison and Disease, or See Invisibility.|||Protective Aura. As an action, you can plant the shaft end of the rod in the ground, whereupon the rod's head sheds bright light in a 60-foot radius and dim light for an additional 60 feet. While in that bright light, you and any creature that is friendly to you gain a +1 bonus to AC and saving throws and can sense the location of any invisible hostile creature that is also in the bright light.|||The rod's head stops glowing and the effect ends after 10 minutes, or when a creature uses an action to pull the rod from the ground. This property can't be used again until the next dawn."
605,Rod Of Hellish Flames,13,"Rod, very rare (requires attunement by a Spellcaster)","Glowing cinders orbit the flanged head of this black iron rod.|||This rod can be used as an arcane focus. While holding this rod, you gain the following benefits:|||Hellish Resistance. You have resistance to fire and necrotic damage.|||Searing Rebuke. You can cast the Hellish Rebuke spell as a 4th-level spell (save DC 16) from the rod. Once you use the rod to cast the spell, the rod can’t cast the spell again until the next dawn.|||Surge of Brimstone. Whenever you cast a spell that deals fire or necrotic damage, you can use the rod to deal the maximum damage instead of rolling. Once this property is used, it can’t be used again until the next dawn."
606,Rod of Security,4,"Rod, very rare","While holding this rod, you can use an action to activate it. The rod then instantly transports you and up to 199 other willing creatures you can see to a paradise that exists in an extraplanar space. You choose the form that the paradise takes. It could be a tranquil garden, lovely glade, cheery tavern, immense palace, tropical island, fantastic carnival, or whatever else you can imagine. Regardless of its nature, the paradise contains enough water and food to sustain its visitors. Everything else that can be interacted with inside the extraplanar space can exist only there. For example, a flower picked from a garden in the paradise disappears if it is taken outside the extraplanar space.|||For each hour spent in the paradise, a visitor regains hit points as if it had spent 1 Hit Die. Also, creatures don't age while in the paradise, although time passes normally. Visitors can remain in the paradise for up to 200 days divided by the number of creatures present (round down).|||When the time runs out or you use an action to end it, all visitors reappear in the location they occupied when you activated the rod, or an unoccupied space nearest that location. The rod can't be used again until ten days have passed."
607,Rotor of Return,16,"Wondrous item, very rare (requires attunement)","While attuned to this device, you have a +1 bonus to Constitution saving throws. You periodically receive flashbacks of old memories. and you can unerringly recall any event that took place within the previous 30 days.|||Borrow Object. You name a mundane item with a value of 50 gp or less and it appears in your hand or at your feet. This can be any item that appears in chapter 5, ""Equipment,"" of the Player's Handbook, or any similar item selected with the DM's permission. The summoned item is transported to you from somewhere else in the world, but it is generic in nature, so that you might call for a longsword but you cannot borrow a specific creature's longsword. The item vanishes 10 minutes after it appears. Once you use this feature of the rotor of return, it cannot be used again until the next dawn.|||Recall Code. As an action, you can set your current location as a point of return locked to the rotor. Anytime thereafter, you can use a bonus action to teleport to the rotor's point of return as long as you are within 500 feet of that point. Once you use the rotor of return to teleport, this feature cannot be used again until the next dawn.|||Part of a Whole. While this component is not installed in the Orrery of the Wanderer, its magic might function sporadically or with unpredictable side effects, as determined by the DM."
608,Ruidium Armor,42,"Armor (any medium or heavy except hide), very rare (requires attunement)","This magic armor has a dull, rusty color or has veins of ruidium running through it. While you wear this armor, you gain the following benefits:|||Ruidium Corruption. When you roll a 1 on a saving throw while wearing this armor, you must make a DC 15 Charisma saving throw. On a failed save, you gain 1 level of exhaustion. If you are not already suffering from ruidium corruption, you become corrupted when you fail this save.|||If Ruidium Is Destroyed. If the Apotheon is killed or redeemed, all of the ruidium in Exandria is destroyed instantly, and Ruidium Armor becomes +1 Armor."
609,Ruidium Shield,42,"Shield, very rare (requires attunement)","Tendrils of ruidium extend across the metal surface of this shield. While this shield is on your person, you gain the following benefits:|||Psychic Reflection. When you take psychic damage while holding the shield, you can use your reaction to choose another creature you can see within 30 feet of you. That creature takes the psychic damage you would have taken.|||Ruidium Corruption. When you use the shield’s Psychic Reflection property, you must make a DC 20 Charisma saving throw. On a failed save, you gain 1 level of exhaustion. If you are not already suffering from ruidium corruption, you become corrupted when you fail this save.|||If Ruidium Is Destroyed. If the Apotheon is killed or redeemed, all the ruidium in Exandria is destroyed instantly, and a Ruidium Shield becomes a +2 Shield."
610,Ruidium Weapon,42,"Weapon (any), very rare (requires attunement)","This magic weapon has a dull, rusty color or has veins of ruidium running through it. While this weapon is on your person, you gain the following benefits:|||Ruidium Strike. A creature you hit with this weapon takes an extra 2d6 psychic damage.|||Ruidium Corruption. When you roll a 1 on an attack roll made with this weapon, you must make a DC 20 Charisma saving throw. On a failed save, you gain 1 level of exhaustion. If you are not already suffering from ruidium corruption, you become corrupted when you fail this save.|||If Ruidium Is Destroyed. If the Apotheon is killed or redeemed, all the ruidium in Exandria is destroyed instantly, and a Ruidium Weapon becomes a +2 Weapon."
611,Sanctum Amulet,12,"Wondrous Item, Very Rare (Requires Attunement)","A black opal pendant hangs at the base of this pearlescent chain. The sacred rune is inscribed on the back of the pendant.|||While wearing this item, you have resistance to necrotic damage. Additionally, you can cast the Spare the Dying cantrip using either an action or a bonus action.|||Invoking the Rune. When a creature you can see within 60 feet of you is reduced to 0 hit points as a result of taking damage, you can use your reaction to invoke the item’s rune, causing the pendant to flash with pale light. The creature then instead drops to 1 hit point.|||Once the rune has been invoked, it can’t be invoked again until the next dawn."
612,Sapphire Buckler,10,"Armor (Shield), Very Rare (Requires Attunement)","This crystalline blue shield is fashioned from a sapphire dragon’s scale and is created to aid in rooting out the influence of Aberrations. While wielding the shield, you have resistance to psychic and thunder damage. Also, when you take damage from a creature that is within 5 feet of you, you can use your reaction to deal 2d6 thunder damage to that creature.|||As an action, you can use the shield to help you locate Aberrations until the end of your next turn. If any Aberrations are within 1 mile of you, the shield emits a low humming tone for a moment, and you know the direction of all Aberrations within that range. Once this property is used, it can’t be used again until the next dawn."
613,Scimitar of Speed,4,"Weapon (scimitar), very rare (requires attunement)","You gain a +2 bonus to attack and damage rolls made with this magic weapon. In addition, you can make one attack with it as a bonus action on each of your turns."
614,Shard of the Ise Rune,29,"Wondrous item, very rare (requires attunement)","This shard of ice is long and slender, roughly the size of a dagger. The ise (ice) rune glows within it. The shard has the following properties, which work only while it's on your person.|||Frigid Touch. As an action, you can touch a body of water and freeze the water in a 10-foot-radius sphere around the spot you touched. Once you use this property, you can't use it again until you finish a short or long rest.|||Frost Friend. You have resistance to fire damage.|||Icy Mantle. As an action, you can touch yourself or another creature with water on your finger. The water creates an icy mantle of protection. The next time within the next minute that the target takes bludgeoning, slashing, or piercing damage, that damage is reduced to 0, and the mantle is destroyed. Once you use this property, you can't use it again until you finish a short or long rest.|||Winter's Howl. As an action, you can cast Sleet Storm (spell save DC 17). You regain this ability after you finish a short or long rest.|||Gift of Frost. You can transfer the shard's magic to a nonmagical item — a cloak or a pair of boots — by tracing the ise rune there with your finger. The transfer takes 8 hours of work that requires the two items to be within 5 feet of each other. At the end, the shard is destroyed, and the rune appears in blue on the chosen item, which gains a benefit based on its form:"
615,Skull Helm,13,"Wondrous Item, very rare (requires attunement)","While wearing this skull-shaped helm, you have resistance to cold, poison, and necrotic damage.|||Additionally, while wearing the helm, you can cast Spirit of Death from it without requiring material components. Once you use the helm to cast the spell, the helm can’t cast this spell again until the next dawn."
616,Sling Bullets of Althemone,19,"Weapon (sling bullet), very rare","The sling bullets come in a pouch, which contains 1d4 + 4 bullets. Roll on the Magic Sling Bullets table for each bullet to determine its magical property.|||You have a +2 bonus to attack and damage rolls made with each of these bullets. If a bullet misses its target, the bullet teleports back into the pouch. Once a bullet hits a target, the bullet loses its magic.||||||Magic Sling Bullets|||d4,Bullet|||1,Banishment. A creature that takes damage from this bullet must succeed on a DC 15 Charisma saving throw or be banished as though affected by the Banishment spell.|||2,Fulguration. On a hit, this bullet deals an extra 2d8 lightning damage to its target. All other creatures within 10 feet of the target must each succeed on a DC 15 Constitution saving throw or take 1d8 thunder damage.|||3,Stunning. On a hit, this bullet deals an extra 1d10 force damage, and the target is stunned until the end of your next turn.|||4,Tracking. A creature that takes damage from this bullet is marked with a glowing rune where the bullet hit. The mark lasts 24 hours. While the creature is marked, you always know the direction to it.|||"
617,Speaking Stone,17,"Wondrous item, very rare","The key to long-distance, virtually instantaneous communication across Khorvaire is House Sivis's network of message stations. Each station contains at least one speaking stone, which is carved from a Siberys dragonshard and inscribed with arcane symbols that uniquely identify it. If you're a gnome with the Mark of Scribing, you can touch the stone and use an action to cast the Sending spell from it. The target is any other speaking stone whose location or unique sequence of symbols you know. A creature within 5 feet of the stone hears the message as if they were the target.|||In a Sivis message station, a gnome is always on duty by the speaking stone, listening for messages that might come in and transcribing them for delivery to their intended recipients."
618,Spear of Backbiting,30,"Weapon (spear or javelin), very rare (requires attunement)","You gain a +2 bonus to attack and damage rolls made with this magic weapon. When you throw it, its normal and long ranges both increase by 30 feet. and it deals one extra die of damage on a hit. After you throw it and it hits or misses, it flies back to your hand immediately.|||Curse. This weapon is cursed, and becoming attuned to it extends the curse to you. Until the curse is broken with Remove Curse or similar magic, you are unwilling to part with the weapon, keeping it within reach at all times. In addition, you have disadvantage on attack rolls made with weapons other than this one.|||Whenever you roll a 1 on an attack roll using this weapon, the weapon bends or flies to hit you in the back. Make a new attack roll with advantage against your own AC. If the result is a hit, you take damage as if you had attacked yourself with the spear."
619,Spellguard Shield,4,"Armor (shield), very rare (requires attunement)","While holding this shield, you have advantage on saving throws against spells and other magical effects, and spell attacks have disadvantage against you."
620,Staff of Dunamancy,18,"Staff, very rare (requires attunement by a wizard)","This staff of polished gray wood bears numerous runes carved along its length. The staff has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns into dust and is destroyed.|||While holding the staff, you can use an action to expend 2 or more of its charges to cast one of the following spells from it, using your spell save DC and spell attack bonus: Fortune's Favor (2 charges), Pulse Wave (3 charges), or Gravity Sinkhole (4 charges).|||New Possibility. If you are holding the staff and fail a saving throw against a spell that targets only you, you can turn your failed save into a successful one. This property can't be used again until the next dawn."
621,Staff of Fate,40,"Staff (quarterstaff), very rare (requires attunement)","This transparent crystal staff can be wielded as a magic quarterstaff that grants a +3 bonus to attack and damage rolls made with it.|||Altered Outcome. The staff has 6 charges. As a bonus action, you can expend 1 of the staff's charges to give yourself or one other creature that you can see a d4. The recipient can roll this d4 and add the number rolled to one ability check, attack roll, damage roll, or saving throw it makes before the start of your next turn. If this extra die is not used before then, it is lost.|||If you expend the staff's last charge, roll a d20. On a roll of 9 or lower, the staff becomes a nonmagical quarterstaff that breaks the first time it scores a hit and deals damage. On a roll of 10 or higher, the staff regains 1d6 of its expended charges."
622,Staff of Fire,4,"Staff, very rare (requires attunement by a druid, sorcerer, warlock, or wizard)","You have resistance to fire damage while you hold this staff.|||The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: Burning Hands (1 charge), Fireball (3 charges), or Wall of Fire (4 charges).|||The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff blackens, crumbles into cinders, and is destroyed."
623,Staff of Frost,4,"Staff, very rare (requires attunement by a druid, sorcerer, warlock, or wizard)","You have resistance to cold damage while you hold this staff.|||The staff has 10 charges. While holding it, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC: Cone of Cold (5 charges), Fog Cloud (1 charge), Ice Storm (4 charges), or Wall of Ice (4 charges).|||The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff turns to water and is destroyed."
624,Staff of Power,4,"Staff, very rare (requires attunement by a sorcerer, warlock, or wizard)","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. While holding it, you gain a +2 bonus to Armor Class, saving throws, and spell attack rolls.|||The staff has 20 charges for the following properties. The staff regains 2d8 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff retains its +2 bonus to attack and damage roll but loses all other properties. On a 20, the staff regain 1d8 + 2 charges.|||Power Strike. When you hit with a melee attack using the staff, you can expend 1 charge to deal an extra 1d6 force damage to the target.|||Spells. While holding this staff, you can use an action to expend 1 or more of its charges to cast one of the following spells from it, using your spell save DC and spell attack bonus: Cone of Cold (5 charges), Fireball (5th-level version, 5 charges), Globe of Invulnerability (6 charges), Hold Monster (5 charges), Levitate (2 charges). Lightning Bolt (5th-level version, 5 charges), Magic Missile (1 charge), Ray of Enfeeblement (1 charge), or Wall of Force (5 charges).|||Retributive Strike. You can use an action to break the staff over your knee or against a solid surface, performing a retributive strike. The staff is destroyed and releases its remaining magic in an explosion that expands to fill a 30-foot-radius sphere centered on it.|||You have a 50 percent chance to instantly travel to a random plane of existence, avoiding the explosion. If you fail to avoid the effect, you take force damage equal to 16 x the number of charge in the staff. Every other creature in the area must make a DC 17 Dexterity saving throw. On a failed save. a creature takes an amount of damage based on how far away it is from the point of origin, as shown in the following table. On a successful save, a creature takes half as much damage.||||||Distance from Origin,Damage|||10 ft. away or closer,8 x the number of charges in the staff|||11 to 20 ft. away,6 x the number of charges in the staff|||21 to 30 ft. away,4 x the number of charges in the staff|||"
625,Staff of Striking,4,"Staff, very rare (requires attunement)","This staff can be wielded as a magic quarterstaff that grants a +3 bonus to attack and damage rolls made with it.|||The staff has 10 charges. When you hit with a melee attack using it, you can expend up to 3 of its charges. For each charge you expend, the target takes an extra 1d6 force damage. The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff becomes a nonmagical quarterstaff."
626,Staff of Thunder and Lightning,4,"Staff, very rare (requires attunement)","This staff can be wielded as a magic quarterstaff that grants a +2 bonus to attack and damage rolls made with it. It also has the following additional properties. When one of these properties is used, it can't be used again until the next dawn.|||Lightning. When you hit with a melee attack using the staff, you can cause the target to take an extra 2d6 lightning damage.|||Thunder. When you hit with a melee attack using the staff, you can cause the staff to emit a crack of thunder, audible out to 300 feet. The target you hit must succeed on a DC 17 Constitution saving throw or become stunned until the end of your next turn.|||Lightning Strike. You can use an action to cause a bolt of lightning to leap from the staff's tip in a line that is 5 feet wide and 120 feet long. Each creature in that line must make a DC 17 Dexterity saving throw, taking 9d6 lightning damage on a failed save, or half as much damage on a successful one.|||Thunderclap. You can use an action to cause the staff to issue a deafening thunderclap, audible out to 600 feet. Each creature within 60 feet of you (not including you) must make a DC 17 Constitution saving throw. On a failed save, a creature takes 2d6 thunder damage and becomes deafened for 1 minute. On a successful save, a creature takes half damage and isn't deafened.|||Thunder and Lightning. You can use an action to use the Lightning Strike and Thunderclap properties at the same time. Doing so doesn't expend the daily use of those properties, only the use of this one."
627,Steel,41,"Weapon (Longsword), Very Rare (Requires Attunement by a Good-aligned Creature)","You have a +2 bonus to attack and damage rolls made with this magic weapon.|||Revivify. You can use an action to cast the Revivify spell from the sword. You must touch the target with the sword to cast the spell. Once this property of the weapon is used, it can't be used again until the next dawn.|||Sentience. Steel is a sentient, lawful good longsword with an Intelligence of 8, a Wisdom of 11, and a Charisma of 15. It can see and hear out to a range of 60 feet. The sword can speak, read, and understand Common and Draconic. It frets over your well-being while you are attuned to it, and it doesn't like to back down from a fight."
628,Stonemaker War Pick,13,"Weapon (war pick), very rare (requires attunement)","You gain a +1 bonus to attack and damage rolls made with this magic war pick. It has the following special properties:|||Meld into Stone. You can cast the Meld into Stone spell from this war pick. Once this property is used, it can’t be used again until the next dawn.|||Petrification. The war pick has 1d6 + 1 charges. If you score a critical hit against a creature that has fewer than 100 hit points, you can expend 1 charge from the war pick to have that creature make a DC 15 Constitution saving throw. On a failed save, the creature has the petrified condition for 8 hours. When the war pick has no charges remaining, it loses this property."
629,Sword of Sharpness,4,"Weapon (any sword that deals slashing damage), very rare (requires attunement)","When you attack an object with this magic sword and hit, maximize your weapon damage dice against the target.|||When you attack a creature with this weapon and roll a 20 on the attack roll, that target takes an extra 14 slashing damage. Then roll another d20. If you roll a 20 you lop off one of the target's limbs, with the effect of such loss determined by the DM. If the creature has no limb to sever, you lop off a portion of its body instead.|||In addition, you can speak the sword's command word to cause the blade to shed bright light in a 10-foot radius and dim light for an additional 10 feet. Speaking the command word again or sheathing the sword puts out the light."
630,Sword of the Paruns,15,"Weapon (longsword), very rare (requires attunement)","You gain a +1 bonus to attack and damage rolls made with this magic weapon. Additionally, once on each of your turns, you can use one of the following properties if you're holding the sword:"
631,Thunderbuss,12,"Weapon (Pistol), Very Rare","This magic ranged weapon is a flared pistol with the storm rune engraved along the barrel. You gain a +1 bonus to attack and damage rolls made with it. It requires no ammunition, its damage is thunder instead of piercing, and it doesn’t have the loading property.|||Invoking the Rune. As a bonus action, you can invoke the weapon’s rune to launch a ball of energy to a point you can see within 30 feet of yourself. The energy then detonates into a 10-foot-radius sphere of turbulent wind and thunder centered on that point, and each creature in that sphere must make a DC 14 Constitution saving throw. On a failed save, a creature takes 3d6 thunder damage, and it can’t take reactions until the end of your next turn. On a successful save, a creature takes half as much damage only.|||Once the rune has been invoked, it can’t be invoked again until the next dawn."
632,Tidecaller Trident,13,"Weapon (trident), very rare (requires attunement)",You gain a +2 bonus to attack and damage rolls made with this magic trident. You also have advantage on attack rolls made with this weapon while underwater.|||This trident has 3 charges. You can expend 1 charge to cast Control Water (save DC 15) from the trident or 3 charges to cast Tsunami (save DC 15) from it instead. The trident regains 1d3 expended charges daily at dawn.
633,Timepiece of Travel,16,"Wondrous item, very rare (requires attunement)","While attuned to this device, you have a +1 bonus to Dexterity saving throws and you always know which way is north. Additionally, you can cast the Longstrider spell on yourself at will.|||Turn-by-Turn Directions. You can name any location within 10 miles of your current location that is known to at least one creature also within 10 miles of that location (including you). Once you name the location. a disembodied voice heard only by you provides directions to the location by the safest, most direct route. The voice knows to avoid natural hazards, so that it does not send you through trackless wilderness or into a lake. But it has no knowledge of or ability to help you avoid monsters, enemies, traps, locked doors, and the like.|||The timepiece is of no use for reaching locations that are wholly secret or not known to any creatures within range. Once you use this feature of the timepiece of travel, it cannot be used again until the next dawn.|||Get Away From It All. As an action, you can cast the Teleport spell. Once you use this feature of the timepiece of travel, it cannot be used again until the next dawn.|||Part of a Whole. While this component is not installed in the Orrery of the Wanderer, its magic might function sporadically or with unpredictable side effects, as determined by the DM."
634,Tome of Clear Thought,4,"Wondrous item, very rare","This book contains memory and logic exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Intelligence score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century."
635,Tome of Leadership and Influence,4,"Wondrous item, very rare","This book contains guidelines for influencing and charming others, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Charisma score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century."
636,Tome of Understanding,4,"Wondrous item, very rare","This book contains intuition and insight exercises, and its words are charged with magic. If you spend 48 hours over a period of 6 days or fewer studying the book's contents and practicing its guidelines, your Wisdom score increases by 2, as does your maximum for that score. The manual then loses its magic, but regains it in a century."
637,Voyager Staff,15,"Staff, very rare (requires attunement by a spellcaster)","You gain a +1 bonus to attack and damage rolls made with this magic quarterstaff. While you hold it, you gain a +1 bonus to spell attack rolls.|||This staff has 10 charges. While holding it, you can use an action to expend 1 or more of the staff's charges to cast one of the following spells from it, using your spell save DC: Banishment (4 charges), Blink (3 charges), Misty Step (2 charges), Passwall (5 charges), or Teleport (7 charges).|||The staff regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the staff vanishes forever."
638,Wand of Polymorph,4,"Wand, very rare (requires attunement by a spellcaster)","This wand has 7 charges. While holding it, you can use an action to expend 1 of its charges to cast the Polymorph spell (save DC 15) from it.|||The wand regains 1d6 + 1 expended charges daily at dawn. If you expend the wand's last charge, roll a d20. On a 1, the wand crumbles into ashes and is destroyed."
639,Watchful Helm,40,"Wondrous item, very rare (requires attunement)","While you wear this helm, you gain a +1 bonus to AC and remain aware of your surroundings even while you're asleep, and you have advantage on Wisdom (Perception) checks that rely on sight.|||As a bonus action, you can cast the See Invisibility spell from the helm. Once this property of the helm is used, it can't be used again until the next dawn."
640,Weapon of Throne's Command,13,"Weapon (any martial weapon), very rare (requires attunement)","This weapon is bedecked in ornate gold filigree and deep-blue and maroon jewels. You gain a +1 bonus to attack and damage rolls made with this weapon. Additionally, you gain proficiency in the Intimidation and Persuasion skills if you don’t already have it.|||Spellcasting. The weapon has 5 charges. You can use a bonus action and expend 1 or more of its charges to cast one of the following spells (save DC 16): Command (1 charge), Zone of Truth (2 charges), Compulsion (4 charges), Banishment (4 charges), or Dominate Person (5 charges).|||The weapon regains 1d4 expended charges daily at dawn."
641,Wheel of Stars,16,"Wondrous item, very rare (requires attunement)","While attuned to this device, you have a +1 bonus to Wisdom saving throws, and you can use an action to cast the Dancing Lights, Guidance, or Message cantrips.|||Portent of the Stars. As a reaction when a creature you can see within 60 feet of you makes an attack roll, saving throw, or ability check, you make that creature roll a d10 and add or subtract the number rolled (your choice) from the roll. Once you use this feature of the wheel of stars, it cannot be used again until the next dawn.|||Alter Gravity. As an action, you can cast Fly on yourself or you can cast Levitate (save DC 15). Once you use this feature of the wheel of stars, it cannot be used again until the next dawn.|||Part of a Whole. While this component is not installed in the Orrery of the Wanderer, its magic might function sporadically or with unpredictable side effects, as determined by the DM."
